C00496679|92270|2017|100|100|1
C00484451|74055|2017|10|10|1
C00484451|49424|2017|96|96|1
C00484451|36526|2017|19|19|1
C00484451|73170|2017|19|19|1
C00484451|80123|2017|20|20|1
C00484451|50073|2017|15|15|1
C00484451|50014|2017|40|40|1
C00484451|75013|2017|19|19|1
C00484451|75033|2017|19|19|1
C00484451|32507|2017|96|96|1
C00484451|75071|2017|10|10|1
C00484451|49464|2017|20|20|1
C00484451|66221|2017|20|20|1
C00484451|77554|2017|15|15|1
C00484451|90601|2017|19|19|1
C00484451|44278|2017|19|19|1
C00484451|49424|2017|96|111|2
C00484451|54016|2017|10|10|1
C00484451|75034|2017|96|96|1
C00484451|53406|2017|38|38|1
C00484451|49424|2017|96|126|3
C00484451|54016|2017|10|20|2
C00484451|75229|2017|42|42|1
C00484451|53402|2017|19|19|1
C00484451|75025|2017|10|10|1
C00484451|11501|2017|38|38|1
C00484451|13156|2017|10|10|1
C00484451|85297|2017|10|10|1
C00484451|94533|2017|38|38|1
C00484451|66221|2017|58|78|2
C00484451|75287|2017|38|38|1
C00484451|75070|2017|19|19|1
C00484451|75070|2017|38|57|2
C00484451|95661|2017|10|10|1
C00484451|75068|2017|130|130|1
C00484451|94517|2017|96|96|1
C00484451|98604|2017|20|20|1
C00484451|46033|2017|19|19|1
C00484451|14516|2017|15|15|1
C00484451|55403|2017|15|15|1
C00484451|92653|2017|20|20|1
C00484451|75034|2017|96|116|2
C00484451|75026|2017|25|25|1
C00484451|75034|2017|96|126|3
